ID;GebruikVanGeweld;SoortDiefstal;RegioS;Perioden;TotaalGeregistreerdeDiefstallen_1;GeregistreerdeDiefstallenPer1000Inw_3
174405;A048105;CRI1125;GM1734;2019JJ00;0;     0.0
174406;A048105;CRI1125;GM1734;2020JJ00;0;     0.0
174407;A048105;CRI1125;GM1734;2021JJ00;0;     0.0
174416;A048105;CRI1125;GM0590;2018JJ00;0;     0.0
174417;A048105;CRI1125;GM0590;2019JJ00;0;     0.0
174418;A048105;CRI1125;GM0590;2020JJ00;0;     0.0
174419;A048105;CRI1125;GM0590;2021JJ00;0;     0.0
174428;A048105;CRI1125;GM1894;2018JJ00;0;     0.0
174429;A048105;CRI1125;GM1894;2019JJ00;0;     0.0
174430;A048105;CRI1125;GM1894;2020JJ00;0;     0.0
174431;A048105;CRI1125;GM1894;2021JJ00;0;     0.0
174440;A048105;CRI1125;GM0765;2018JJ00;0;     0.0
174441;A048105;CRI1125;GM0765;2019JJ00;0;     0.0
174442;A048105;CRI1125;GM0765;2020JJ00;0;     0.0
174443;A048105;CRI1125;GM0765;2021JJ00;0;     0.0
174452;A048105;CRI1125;GM1926;2018JJ00;0;     0.0
174453;A048105;CRI1125;GM1926;2019JJ00;0;     0.0
174454;A048105;CRI1125;GM1926;2020JJ00;0;     0.0
174455;A048105;CRI1125;GM1926;2021JJ00;0;     0.0
174464;A048105;CRI1125;GM0439;2018JJ00;0;     0.0
174465;A048105;CRI1125;GM0439;2019JJ00;0;     0.0
174466;A048105;CRI1125;GM0439;2020JJ00;0;     0.0
174467;A048105;CRI1125;GM0439;2021JJ00;0;     0.0
174476;A048105;CRI1125;GM0273;2018JJ00;0;     0.0
174477;A048105;CRI1125;GM0273;2019JJ00;0;     0.0
174478;A048105;CRI1125;GM0273;2020JJ00;0;     0.0
174479;A048105;CRI1125;GM0273;2021JJ00;0;     0.0
174488;A048105;CRI1125;GM0177;2018JJ00;0;     0.0
174489;A048105;CRI1125;GM0177;2019JJ00;0;     0.0
174490;A048105;CRI1125;GM0177;2020JJ00;0;     0.0
174491;A048105;CRI1125;GM0177;2021JJ00;0;     0.0
174500;A048105;CRI1125;GM0595;2018JJ00;;
174501;A048105;CRI1125;GM0595;2019JJ00;;
174502;A048105;CRI1125;GM0595;2020JJ00;;
174503;A048105;CRI1125;GM0595;2021JJ00;;
174512;A048105;CRI1125;GM0703;2018JJ00;0;     0.0
174513;A048105;CRI1125;GM0703;2019JJ00;0;     0.0
174514;A048105;CRI1125;GM0703;2020JJ00;0;     0.0
174515;A048105;CRI1125;GM0703;2021JJ00;0;     0.0
174524;A048105;CRI1125;GM0274;2018JJ00;0;     0.0
174525;A048105;CRI1125;GM0274;2019JJ00;0;     0.0
174526;A048105;CRI1125;GM0274;2020JJ00;0;     0.0
174527;A048105;CRI1125;GM0274;2021JJ00;0;     0.0
174536;A048105;CRI1125;GM0339;2018JJ00;0;     0.0
174537;A048105;CRI1125;GM0339;2019JJ00;0;     0.0
174538;A048105;CRI1125;GM0339;2020JJ00;0;     0.0
174539;A048105;CRI1125;GM0339;2021JJ00;0;     0.0
174548;A048105;CRI1125;GM1667;2018JJ00;0;     0.0
174549;A048105;CRI1125;GM1667;2019JJ00;0;     0.0
174550;A048105;CRI1125;GM1667;2020JJ00;0;     0.0
174551;A048105;CRI1125;GM1667;2021JJ00;0;     0.0
174560;A048105;CRI1125;GM0275;2018JJ00;0;     0.0
174561;A048105;CRI1125;GM0275;2019JJ00;0;     0.0
174562;A048105;CRI1125;GM0275;2020JJ00;0;     0.0
174563;A048105;CRI1125;GM0275;2021JJ00;0;     0.0
174572;A048105;CRI1125;GM0340;2018JJ00;0;     0.0
174573;A048105;CRI1125;GM0340;2019JJ00;0;     0.0
174574;A048105;CRI1125;GM0340;2020JJ00;0;     0.0
174575;A048105;CRI1125;GM0340;2021JJ00;0;     0.0
174584;A048105;CRI1125;GM0597;2018JJ00;0;     0.0
174585;A048105;CRI1125;GM0597;2019JJ00;0;     0.0
174586;A048105;CRI1125;GM0597;2020JJ00;0;     0.0
174587;A048105;CRI1125;GM0597;2021JJ00;0;     0.0
174596;A048105;CRI1125;GM0196;2018JJ00;;
174597;A048105;CRI1125;GM0196;2019JJ00;;
174598;A048105;CRI1125;GM0196;2020JJ00;;
174599;A048105;CRI1125;GM0196;2021JJ00;;
174608;A048105;CRI1125;GM1672;2018JJ00;;
174609;A048105;CRI1125;GM1672;2019JJ00;;
174610;A048105;CRI1125;GM1672;2020JJ00;;
174611;A048105;CRI1125;GM1672;2021JJ00;;
174620;A048105;CRI1125;GM1742;2018JJ00;0;     0.0
174621;A048105;CRI1125;GM1742;2019JJ00;0;     0.0
174622;A048105;CRI1125;GM1742;2020JJ00;0;     0.0
174623;A048105;CRI1125;GM1742;2021JJ00;0;     0.0
174632;A048105;CRI1125;GM0603;2018JJ00;0;     0.0
174633;A048105;CRI1125;GM0603;2019JJ00;0;     0.0
174634;A048105;CRI1125;GM0603;2020JJ00;0;     0.0
174635;A048105;CRI1125;GM0603;2021JJ00;0;     0.0
174644;A048105;CRI1125;GM1669;2018JJ00;0;     0.0
174645;A048105;CRI1125;GM1669;2019JJ00;0;     0.0
